"File","Line","Content","MsgText","IsDebug","PrevCtx","NextCtx"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34418","AfxMessageBox(""Invester Id Is Not Mapped...Contact Admin"");","Invester Id Is Not Mapped...Contact Admin","False","{","return false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34427","AfxMessageBox(""Invester Id Is Not Mapped...Contact Admin"");","Invester Id Is Not Mapped...Contact Admin","False","{","return false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34479","if(MessageBox(cMessage, ""GATS Arbitrage Setting"", MB_YESNO) != 6)","[Dynamic variable: cMessage]","False","","return false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34514","if(MessageBox(cMessage, ""GATS Arbitrage Setting"", MB_YESNO) != 6)","[Dynamic variable: cMessage]","False","","return false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34667","AfxMessageBox(""Rule Can not be Added"");","Rule Can not be Added","False","{","return false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34688","AfxMessageBox(""Invalid Lower or Upper Ratio, Ratio should be greater than 0.0000""); //Wrong spell..","Invalid Lower or Upper Ratio, Ratio should be greater than 0.0000","False","{","return false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34733","AfxMessageBox(""Zero Value Not Allowed In Swap Ratio"");","Zero Value Not Allowed In Swap Ratio","False","if (__objGOTSArbitrageRule.objGATSAlgoStruct.lFourthOrderQty <= 0 || __objGOTSArbitrageRule.objGATSAlgoStruct.lFourthTotalQty <= 0){","return false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34765","AfxMessageBox(""Invalid rule,asset token not found"");","Invalid rule,asset token not found","False","{","return false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34772","AfxMessageBox(""script not found"");","script not found","False","{","return false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34783","AfxMessageBox(""Combine depth rule allowed only for C2F rule with base order as Future"");","Combine depth rule allowed only for C2F rule with base order as Future","False","{","return false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34789","AfxMessageBox(""Please select NSE-BSE rule"");","Please select NSE-BSE rule","False","{","return false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34796","AfxMessageBox(""order ratio is not allowed in BSE FO"");","order ratio is not allowed in BSE FO","False","{","return false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34802","AfxMessageBox(""Jobbing is not allowed for combine depth"");","Jobbing is not allowed for combine depth","False","{","return false;"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","34954","MessageBox(""Exception in MapToGATSArbSettingStruct()"", ""CNewGreekExecutionAlgos"");","Exception in MapToGATSArbSettingStruct()","True","#ifdef _DEBUG","#endif"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","35206","MessageBox(""Exception in GetTokenDetails()"", ""CNewGreekExecutionAlgos"");","Exception in GetTokenDetails()","True","#ifdef _DEBUG","#endif"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","35852","MessageBox(""Exception in ShowGatsArbRulesInGrid()"", ""CNewGreekExecutionAlgos"");","Exception in ShowGatsArbRulesInGrid()","True","#ifdef _DEBUG","#endif"
"Client\CTCLClient\NewGreekExecutionAlgos.cpp","36072","AfxMessageBox(""Invester Id Is Not Mapped...Contact Admin"");","Invester Id Is Not Mapped...Contact Admin","False","{","return false;"
